sample,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75
sample79,-0.376,0.342,-0.256,1.115,1.168,-1.831,-0.161,-0.394,1.272,0.97,0.273,1.185,0.718,0.581,-0.822,1.331,-0.395,-0.753,1.602,0.24,2.453,-1.273,0.753,0.394,-0.272,0.306,0.103,-0.728,-0.181,-0.791,-0.447,0.435,0.771,-1.623,-0.762,-2.048,-0.006,1.35,-0.366,-1.054,-1.28,-0.547,-1.051,1.542,0.171,-0.523,0.51,1.101,0.788,1.05,-0.315,1.545,-0.089,0.921,-1.606,0.048,-0.347,-0.451,0.716,-0.318,0.441,-0.544,0.431,-0.879,0.699,-0.515,-0.507,0.322,1.426,-0.967,-1.571,-0.571,-0.379,-0.556,-0.201
sample80,0.616,1.776,-1.552,0.667,-0.401,1.609,-1.1,-0.313,0.646,1.17,-0.259,-1.671,0.653,0.079,-0.716,0.107,0.011,-0.875,0.503,-0.017,1.443,-0.356,-1.394,-0.014,-0.321,0.83,-1.416,-0.799,1.122,0.184,1.255,1.276,-0.188,0.209,-0.856,0.581,0.097,-0.374,-0.732,0.523,0.121,-0.358,0.195,0.679,-1.23,-0.912,-0.444,1.176,-1.508,1.021,0.61,-0.294,-0.319,-0.315,0.939,-0.011,0.654,-1.068,0.771,0.135,0.477,-1.534,2.385,-0.498,-1.906,0.861,0.167,-0.785,-1.245,1.427,0.385,-0.657,-1.553,0.239,2.092
sample81,-0.284,-0.011,-1.029,-0.035,-1.113,-0.624,-0.069,-0.042,0.378,0.742,-1.529,-0.623,-1.037,0.069,-0.287,-0.82,1.233,-0.56,-0.695,1.533,0.207,0.149,0.088,0.293,-0.238,0.852,-0.122,1.59,1.977,-0.268,-1.328,0.703,1.174,-0.594,-0.076,0.076,0.735,0.088,1.316,0.315,1.162,-0.148,-0.133,1.092,0.297,-0.965,0.891,-0.157,1.549,0.696,-0.843,-0.249,-0.557,0.485,-1.394,-1.692,0.176,-0.122,1.08,0.455,1.572,0.956,1.593,0.271,-1.633,-0.527,-2.157,0.735,1.424,-0.091,-1.28,0.748,0.688,-0.248,0.522
sample82,0.139,-0.201,0.204,0.786,-0.451,-1.443,0.136,1.09,-0.945,0.364,0.297,0.385,0.075,0.505,-0.943,-1.107,-0.835,-1.541,0.065,0.207,-1.159,2.03,-0.206,-0.563,1.116,1.365,-1.854,-2.713,1.553,0.143,-0.787,-1.716,1.15,1.422,0.416,1.05,-2.114,0.158,-0.647,0.167,-0.69,-0.433,-0.749,-0.89,-0.272,-0.434,-0.261,-0.325,0.788,0.586,0.576,0.231,-0.941,-0.645,0.535,0.329,0.909,0.484,0.823,0.78,0.439,-0.044,0.08,-0.863,-1.297,1.392,-1.482,-0.476,-0.547,-0.288,-0.042,-1.79,1.678,2.235,-0.602
sample83,-1.425,0.669,0.193,0.39,-1.27,-0.845,-0.061,-2.19,-1.147,0.865,0.02,0.114,-1.49,-1.344,-0.277,0.773,-0.901,0.085,-1.345,-1.26,-0.922,-0.423,0.234,-0.812,-2.441,-1.008,-0.586,0.279,-0.246,-1.32,0.632,-1.207,-0.336,-0.276,-0.117,0.675,-0.255,0.645,-0.016,0.68,0.807,-1.867,0.196,-1.062,-1.056,-0.434,-0.357,-0.972,-1.26,0.419,-1.426,1.61,-0.745,-1.449,-0.907,0.907,-1.41,0.049,2.945,-0.674,-1.167,0.128,2.323,0.254,0.17,0.128,-1.475,-0.486,0.606,-0.288,1.512,-0.581,-1.15,-1.387,2.47
sample84,1.565,-0.218,0.69,1.483,0.18,0.744,-1.284,-1.762,0.678,-0.76,1.304,-0.761,1.403,-0.605,-0.323,-0.151,-0.359,-0.415,0.051,-0.424,-0.649,-1.172,-0.748,-1.478,0.031,-1.28,-1.144,-0.623,-0.391,0.513,-0.257,-0.473,-0.629,-0.437,-0.775,1.056,-0.314,-1.602,-0.483,0.133,0.711,-0.057,1.14,-1.629,1.503,-0.51,0.046,0.423,-2.319,1.163,-0.973,0.604,0.126,0.323,0.977,-0.312,0.748,0.557,-0.761,0.93,0.293,-0.955,0.808,1.074,1.495,-1.495,0.998,0.699,-0.922,-0.361,0.983,0.337,1.885,-0.324,1.283
sample85,-0.649,-1.274,0.581,1.108,0.357,0.246,0.581,0.887,-0.589,0.022,1.427,0.05,0.497,-0.934,-0.572,-0.034,0.358,0.758,0.207,-0.999,3.137,-0.422,0.02,-0.963,1.155,0.136,0.397,0.291,-0.615,-1.77,-1.074,1.412,0.426,-0.116,0.848,0.026,0.809,0.197,-0.724,0.356,0.557,-0.37,-1.287,0.094,0.222,-0.735,-0.168,-0.432,-1.214,-2.846,0.225,-0.541,0.406,0.622,-0.829,-2.709,0.485,-1.07,-0.376,-0.063,-1.181,1.017,1.098,0.456,-1.226,-0.086,-0.276,2.6,0.372,1.266,-0.669,-0.081,1.786,0.864,1.291
sample86,-1.25,-0.347,0.644,-0.288,0.462,0.859,0.525,0.651,-0.845,-0.042,-0.264,-0.881,1.367,-0.361,1.361,0.15,1.416,0.525,-1.954,0.024,0.606,-0.522,0.474,-0.735,0.582,-0.43,1.92,1.898,-2.052,0.004,-0.123,2.243,1.448,-0.268,-0.735,0.629,0.659,0.992,-0.41,1.759,-0.01,-3.141,-2.223,1.292,0.589,-1.639,1.83,-1.24,-2.438,0.432,-0.369,1.098,-1.096,0.309,0.112,-0.661,-0.574,1.135,0.572,0.492,-2.025,-0.663,1.247,-1.459,0.255,0.545,-0.563,2.796,-1.32,-1.22,-0.61,-0.502,0.003,-1.648,0.717
sample87,-0.715,1.14,0.665,0.262,-2.264,1.448,0.402,1.108,0.525,0.569,-1.289,-1.539,-0.421,-0.917,0.233,1.383,-0.7,-0.313,-0.723,2.395,-1.354,0.913,-1.478,0.647,1.237,0.566,0.868,1.048,0.815,0.176,-1.06,0.46,1.105,1.313,0.502,-0.548,0.804,-0.816,0.294,0.323,0.319,1.023,-0.698,1.076,-0.866,-0.242,0.574,-0.12,0.009,-0.409,1.815,-1.206,0.052,-0.473,0.335,0.551,-0.743,-0.162,-0.302,-0.449,0.287,-0.314,-1.15,0.147,-0.232,0.067,0.441,0.446,-1.079,-0.208,-0.516,-1.292,-1.673,-1.058,-0.702
sample88,0.634,-0.451,0.245,-0.833,-0.114,-0.029,0.679,-1.353,0.132,1.974,0.866,0.52,-2.279,-1.365,-0.463,-0.831,-0.005,-0.624,-0.203,0.065,-0.377,0.111,0.968,1.321,-1.097,-0.639,0.72,-0.409,0.277,-0.899,1.581,-0.644,-0.931,-0.525,-1.077,-0.133,-0.586,-1.338,-0.486,0.212,-1.155,-1.317,-0.837,-1.107,-0.611,-0.184,0.906,-0.453,0.577,2.381,1.088,0.219,-0.931,-0.356,0.456,-0.872,0.506,0.452,-0.693,-0.244,-1.01,-0.019,1.525,-0.247,-0.578,-1.299,1.484,-0.738,0.105,-0.457,-0.278,0.832,0.098,-0.286,1.195
sample89,0.717,0.047,-1.911,-0.092,0.59,-0.46,1.234,-1.671,0.094,-2.6,-1.283,1.302,1.286,-0.278,0.172,-0.453,1.394,1.147,-0.962,-0.999,-0.458,-0.505,0.841,-0.805,-1.034,0.068,0.743,0.93,-1.865,0.053,-0.687,-1.066,0.511,-0.015,-0.366,0.248,-0.332,-0.649,0.34,-0.265,0.684,-0.163,-1.074,0.185,1.537,0.125,-0.107,-1.484,-0.135,-0.275,0.069,0.254,-0.617,-0.543,-1.17,1.276,-1.094,-0.728,-0.745,0.945,-0.599,-1.927,0.905,0.382,1.276,0.107,0.216,-1.917,1.168,-0.023,1.925,-0.653,-0.813,-0.708,0.322
sample90,-0.317,-1.251,-0.274,0.143,0.937,-1.22,0.098,0.11,-0.184,1.367,-0.329,-0.798,-1.676,-0.999,-0.732,-0.531,1.0,0.974,-0.755,0.446,0.615,0.902,0.311,-1.345,-1.316,0.331,1.031,0.199,0.322,0.762,0.505,0.352,0.465,0.146,-0.864,-0.842,-0.714,-0.322,-1.193,0.789,0.158,0.067,-0.601,-0.046,1.813,0.698,0.193,1.782,-0.596,1.523,0.945,0.172,-0.817,-0.475,0.487,-0.596,-0.833,-0.593,0.025,1.604,1.037,1.688,-0.977,-0.613,0.23,-0.312,0.912,-0.082,0.583,-1.185,0.464,1.577,0.913,-0.249,0.464
sample91,-0.05,-0.479,0.986,-1.389,-0.55,0.759,-0.565,0.446,0.697,-1.196,-1.044,-2.366,0.938,0.531,-0.888,-0.315,-0.658,3.1,0.112,1.313,0.798,-0.042,0.619,0.118,-2.78,-0.049,0.268,1.896,-0.335,1.658,-0.812,-0.678,-1.944,2.043,-0.359,-0.772,0.417,-0.007,0.163,1.932,0.237,1.271,0.184,0.059,2.002,0.992,0.123,2.571,-0.729,-0.661,1.222,1.366,1.308,0.448,-0.714,0.332,-2.206,1.015,-0.372,-2.367,0.355,0.307,-0.877,0.428,-0.243,0.431,-1.18,-0.009,0.485,-2.877,1.049,0.74,0.467,-1.587,1.869
sample92,0.436,2.382,-0.901,0.544,1.052,-0.208,-0.778,-0.55,2.948,1.252,-0.953,-1.324,2.028,1.313,-0.025,-0.569,0.029,0.57,1.315,0.118,0.559,1.209,0.73,-1.161,1.764,-1.379,-0.121,1.327,-1.022,2.161,0.34,-1.15,0.154,-1.043,0.411,-1.724,1.115,0.201,-0.083,-0.122,1.43,-0.493,-0.595,-1.044,0.426,0.668,-1.12,1.286,-0.701,-0.919,-0.544,-0.718,0.496,0.996,2.496,-0.179,-1.205,0.042,0.737,-0.851,-0.157,0.507,0.644,-1.304,-0.009,0.528,0.136,0.811,-0.156,0.127,0.65,0.405,0.937,0.716,0.025
sample93,-0.768,1.853,-0.317,0.962,1.033,-0.521,-1.408,0.694,0.504,-0.928,0.457,1.0,1.304,0.686,-0.356,0.794,-0.331,-0.307,0.935,1.014,0.627,-0.511,0.216,-0.192,-0.158,0.182,0.093,-0.827,-1.239,0.867,0.723,0.717,0.113,0.822,-0.941,0.391,-0.165,0.609,0.816,-0.681,-0.055,-2.001,0.005,0.841,0.669,0.184,1.675,0.326,1.059,0.12,-1.816,-0.831,0.05,-0.162,0.891,0.68,0.689,-1.76,0.659,0.577,0.893,0.315,0.766,0.706,1.241,-1.756,-0.392,-0.983,-0.141,-0.1,-0.169,-0.3,-2.104,-0.132,-0.454
sample94,0.34,-1.07,1.555,-0.217,-0.401,1.045,0.308,0.448,1.32,2.08,-1.494,-1.722,1.545,-1.225,0.171,0.848,-0.818,0.456,0.362,-0.994,-0.82,-1.856,-1.103,-0.518,0.99,0.284,0.687,-1.67,0.446,-0.532,-1.487,-2.29,0.575,0.015,-0.295,-0.439,-0.179,-0.386,-1.082,1.056,1.038,-1.585,2.014,0.111,0.445,-0.488,0.179,2.126,-0.373,-0.457,0.984,-0.074,-1.342,1.123,-1.69,-1.578,0.999,0.829,-2.553,0.043,-0.297,0.153,-1.435,0.004,1.638,0.343,-2.428,0.388,2.116,0.957,-1.114,-1.512,0.039,1.06,-0.117
sample95,2.129,0.333,0.795,-0.102,-0.141,0.444,-0.312,2.05,0.56,-0.41,-0.932,0.502,-0.568,-0.493,1.181,-0.989,-0.198,-1.598,-0.061,-1.592,0.425,-0.785,0.022,-1.553,1.623,0.243,1.189,1.264,0.996,-1.869,0.774,-0.682,1.911,-0.153,-1.655,-1.545,-0.889,0.671,-0.398,-0.092,0.311,-0.148,0.672,2.532,1.556,-2.679,-0.871,1.284,0.703,0.112,2.046,-3.75,-1.59,0.218,0.142,0.655,-0.177,1.277,-0.47,-1.55,0.607,-0.417,-0.219,0.099,0.847,-1.018,-0.826,-0.324,0.342,0.771,0.911,0.872,0.596,0.997,0.193
sample96,-0.071,1.083,0.142,-0.278,-0.639,0.613,-0.996,-0.025,0.8,-0.932,1.455,-1.502,0.695,0.013,0.955,0.619,-0.454,-1.797,-1.444,0.04,-1.786,2.409,-1.519,-0.567,1.257,0.853,1.262,-0.608,1.041,0.337,1.001,1.042,-0.147,0.202,1.181,-0.465,-0.591,0.265,-1.293,0.262,-0.602,-0.936,0.189,-0.975,-2.084,-0.862,-1.151,0.545,1.683,0.941,-0.088,-0.896,-1.73,0.615,-0.484,0.133,-0.666,-2.301,-0.349,0.027,1.157,0.927,0.193,0.096,0.903,-0.415,-1.756,0.331,1.724,-0.898,-2.052,0.04,0.215,-1.138,0.992
sample97,1.245,-0.5,2.294,1.229,-0.544,0.133,0.48,-0.244,-0.979,-0.807,1.521,-0.534,0.963,0.267,2.832,0.528,0.154,1.252,0.124,-0.937,0.111,0.197,-0.015,-0.862,0.613,0.934,0.571,-1.965,-1.975,0.965,-0.841,1.01,0.437,-0.231,0.01,0.115,0.002,-0.716,0.961,-0.753,0.277,0.34,-1.248,-0.443,-1.58,0.223,-0.125,0.247,-0.463,-0.107,0.309,-0.803,0.927,-0.108,-1.001,0.171,0.105,-1.011,-0.906,-0.75,1.47,-0.123,0.485,0.677,0.731,0.366,1.56,1.326,-0.56,1.157,-0.312,0.293,2.238,2.072,1.167
sample98,-0.118,0.147,0.17,-0.945,1.166,0.093,1.555,-0.35,-1.997,1.268,-0.543,-0.682,0.848,0.458,-0.525,1.467,0.191,-0.569,-0.256,1.097,1.901,-1.085,-1.312,0.034,1.206,-0.609,-0.093,0.013,-0.465,-2.294,-0.03,-0.021,1.401,0.669,-1.589,0.07,-0.845,1.953,1.053,0.555,-1.138,-1.063,-0.802,1.631,1.019,0.083,-0.913,-0.075,-0.869,0.57,-0.425,1.737,0.032,-1.141,0.517,1.837,-0.734,1.844,-0.163,-0.538,-2.279,1.675,0.953,0.292,-1.76,0.814,-0.495,-0.262,0.331,-0.717,0.845,-1.098,-0.014,1.864,-0.332
sample99,-0.911,1.05,-0.267,-0.802,-0.707,0.198,0.102,0.514,-1.586,-0.631,-1.26,0.483,-1.087,0.076,0.859,0.351,-0.621,0.625,1.288,0.216,-0.168,1.044,-0.357,-0.744,0.493,-1.943,-0.904,1.998,0.682,0.789,-1.074,-1.166,0.64,-0.455,0.643,1.569,1.335,2.146,-0.731,2.319,-1.056,0.226,-0.091,0.497,0.389,-0.766,1.296,0.489,1.303,1.598,1.923,-1.318,-0.117,0.084,-0.386,0.006,1.151,-1.021,0.196,-1.77,1.13,-0.901,1.932,-0.035,1.067,0.089,0.362,1.031,-0.554,0.042,-0.593,-0.148,-1.596,-0.378,-1.343
sample100,-1.092,0.347,-1.506,0.053,-0.134,-0.651,-0.034,0.389,1.052,0.781,0.387,-1.126,-0.705,1.155,-1.639,-0.517,1.613,-0.646,1.109,0.194,-0.862,-2.028,-0.802,-1.234,0.179,0.101,-0.533,-0.834,0.481,-0.261,0.891,0.748,-0.554,1.544,-0.406,-0.139,0.109,-0.77,0.66,0.419,-0.994,2.352,0.617,0.829,-1.414,-0.738,-0.706,-0.235,1.225,1.765,-1.486,-0.315,0.4,-0.288,0.266,0.219,1.944,0.507,0.329,1.074,-0.511,-1.082,-0.847,-0.718,-1.879,1.721,0.257,-0.703,-0.825,1.144,-0.699,1.133,0.671,0.51,0.904
sample101,-0.864,-0.794,-0.672,0.073,1.208,0.621,0.571,-1.181,1.438,0.593,0.049,0.491,-0.664,-0.6,-0.161,0.706,-2.39,0.401,-0.533,0.348,-1.26,0.176,-1.568,1.929,0.736,-0.737,0.713,0.507,-0.222,-0.595,-0.977,1.386,0.568,0.65,-0.667,0.274,0.831,0.17,0.225,0.007,1.807,-0.078,0.832,0.058,0.009,-0.656,-0.222,0.507,-1.602,0.514,0.075,-0.911,0.128,0.797,0.689,-0.73,0.039,-0.442,0.344,0.339,-1.065,-0.508,1.497,0.161,-0.428,-0.461,-0.912,0.562,0.941,0.113,-0.274,0.929,0.8,1.486,1.502
sample102,-1.891,-0.405,-0.476,-0.474,-0.068,2.473,-0.217,-0.161,0.135,0.994,-0.243,-1.743,-0.381,-0.352,-0.733,-0.416,1.341,0.135,0.945,1.219,0.096,1.104,0.392,-0.45,0.656,-1.155,2.821,1.205,-0.033,0.34,-2.669,-0.574,1.599,0.508,0.423,-0.816,-0.507,0.559,-0.171,-0.943,0.233,-0.172,-0.49,1.77,1.707,-0.794,-1.19,-1.362,-0.667,-1.589,-0.177,0.859,0.096,-0.477,0.586,0.32,-0.238,1.846,1.814,-0.048,-0.352,0.356,0.241,0.635,-0.282,0.344,-1.3,0.859,1.734,-1.709,1.68,0.571,-1.539,0.193,0.344
sample103,0.82,0.666,-1.159,0.799,-0.564,-0.524,-0.716,-0.39,-1.254,-1.741,1.526,-0.142,-0.847,1.032,0.609,-0.502,0.943,-2.618,0.202,1.297,-0.013,-0.356,-1.028,-0.479,0.293,-1.835,-2.749,1.127,0.564,0.285,0.233,0.678,-0.882,-0.005,0.322,-0.1,1.879,0.275,-0.499,0.292,1.382,0.126,-0.185,0.848,-0.401,-1.78,1.082,0.475,-2.098,-0.328,0.525,-1.385,0.305,0.73,1.235,0.098,0.825,1.302,-0.384,-0.583,0.175,0.307,0.483,-0.399,-0.389,-0.638,-0.293,-0.844,-1.777,-0.393,0.969,-1.05,1.542,-1.173,1.27
sample104,-2.974,1.304,1.533,0.988,-0.914,0.966,-1.767,1.699,-0.5,-1.59,-0.234,-1.874,-0.443,-0.483,-0.18,0.539,-1.922,-0.436,-1.862,0.908,-0.585,1.723,1.168,-1.633,-0.473,-0.08,-1.404,1.645,0.328,-2.526,-0.602,-0.401,-0.371,2.148,-0.453,-1.225,0.004,-2.312,-0.569,-0.925,-0.116,-2.364,-0.305,0.87,0.961,0.681,-1.524,-0.334,-1.091,0.166,-1.25,2.392,-0.77,0.801,1.355,-1.217,-0.498,0.079,-1.109,-1.894,0.021,-0.507,-0.814,1.965,-0.82,-0.075,-1.481,-0.346,0.834,1.021,0.218,-1.457,0.636,-1.706,0.206
sample105,-1.093,-0.338,1.063,-0.159,2.139,-0.972,-0.938,-0.56,0.278,0.396,1.111,-1.44,-0.931,-1.087,1.348,-0.141,-0.347,0.378,-2.159,-0.007,1.381,0.389,-0.819,-0.082,1.552,-0.31,1.971,-0.571,-0.206,0.327,0.732,-0.693,-0.797,-0.533,1.079,0.292,-0.842,-1.656,-0.314,-1.603,0.025,0.852,0.934,-0.329,-0.762,0.604,0.907,0.354,0.124,-0.523,1.296,-0.338,-0.301,0.476,0.096,1.29,1.185,0.221,-1.871,1.156,2.897,0.041,-1.864,0.262,0.986,-0.963,-0.04,1.229,-0.452,1.281,0.887,1.0,-1.005,0.514,1.266
sample106,-0.668,-1.315,0.394,1.019,-1.203,0.348,-0.51,-0.164,-1.686,-1.417,-0.633,0.905,-0.833,-0.263,0.072,0.214,0.659,1.055,-0.591,-1.418,-0.421,-0.02,-2.317,0.828,-0.881,-0.634,-1.433,-0.811,-0.106,0.13,-0.066,-1.341,-1.243,0.469,-0.812,-1.193,-1.93,-1.091,0.05,1.62,1.424,0.168,1.103,0.19,-1.457,-1.108,2.526,-1.596,-0.437,-1.181,1.22,0.978,-0.81,-1.305,0.501,-1.893,-1.617,-0.014,2.671,0.309,-2.23,1.739,-1.273,-0.137,-0.92,0.438,0.026,-0.948,-0.416,-0.689,0.128,-0.386,0.434,-0.787,1.322
sample107,-0.872,-1.883,-1.584,0.303,-0.602,-0.283,1.568,-0.757,-0.986,0.747,0.16,0.214,-0.307,1.717,-0.31,-1.506,-1.058,-0.954,-0.773,-0.255,-1.136,1.219,0.963,-1.499,-0.763,1.014,-0.799,0.274,-0.104,1.131,-0.125,-1.895,-0.207,-0.109,1.609,0.29,-0.856,0.48,-1.627,-1.206,0.882,1.305,0.068,1.671,1.471,0.819,-0.087,-0.44,-0.851,-1.216,-0.139,-0.48,-0.419,0.613,0.352,-0.93,-1.03,-0.376,0.218,0.181,-2.874,0.542,0.29,1.015,1.193,0.641,0.114,0.529,0.67,1.191,0.389,0.248,0.576,-0.038,0.357
sample108,-0.304,-0.641,-0.555,-0.729,-1.218,0.404,0.355,-0.879,-1.324,0.156,-0.089,0.123,1.287,0.081,-0.374,-1.221,2.262,-1.115,2.22,1.991,-0.789,0.475,-0.881,-1.074,-0.014,-0.8,-1.312,0.727,-0.353,1.248,-0.436,0.185,-1.241,-0.099,0.421,1.411,0.243,-0.208,-0.285,-1.856,0.865,0.248,0.777,-1.887,0.885,0.757,-0.017,-0.981,1.632,1.011,-0.726,-1.472,0.054,-0.429,0.318,-1.372,0.04,0.185,0.432,-1.827,0.545,1.072,0.71,0.068,0.536,0.396,2.046,-0.31,-0.081,-0.101,0.2,-1.737,-0.553,-0.553,1.576
sample109,-0.404,1.927,1.85,-0.358,-0.059,2.886,-2.998,-0.932,-1.405,-1.842,-1.366,-0.479,2.12,0.63,-0.45,0.018,-1.073,1.045,-0.383,1.735,-0.311,-1.158,-1.192,1.172,0.741,1.073,1.244,0.009,1.266,0.678,0.587,-0.328,0.147,-1.569,-0.292,0.766,-0.004,-0.874,-0.635,2.237,1.02,0.891,-0.423,0.523,-0.46,-0.442,-0.467,-1.706,1.128,-1.44,1.619,0.581,0.351,-0.723,0.543,-1.612,0.797,-0.221,1.568,-0.108,1.14,0.107,0.317,-0.2,-0.109,-0.282,-0.782,1.364,2.482,-0.726,1.138,-1.379,-1.681,-0.07,1.592
sample110,0.032,0.4,-0.833,-2.123,1.705,-0.284,0.749,0.252,-0.282,-0.156,-0.885,0.872,-0.646,0.111,0.828,-0.56,0.721,0.702,-1.197,-0.752,-0.553,0.935,-0.765,0.231,-1.872,-0.869,1.143,0.401,1.016,-0.612,0.082,-1.554,-0.765,-0.898,2.358,-0.297,0.208,-0.144,-1.109,-0.009,-0.346,-0.104,-0.745,-0.398,0.135,1.083,1.812,-1.221,1.437,0.311,-0.071,0.139,0.46,0.26,-0.84,1.589,0.331,-0.777,0.536,1.611,-0.555,0.792,-0.028,0.193,0.143,-0.309,-0.221,1.451,1.04,-0.389,1.371,1.42,-0.054,0.221,-0.131
sample111,2.191,0.178,0.653,-2.145,0.362,1.091,-1.1,0.661,-0.754,-0.0,-1.758,-0.124,-0.715,-1.562,-0.868,0.254,-0.119,0.203,0.277,0.062,0.422,-0.73,0.979,-0.616,2.455,1.882,-1.132,-0.351,0.373,1.18,-0.895,0.343,0.257,-0.097,0.699,0.641,-1.954,-0.019,0.534,-0.089,-0.782,-0.158,2.177,0.082,0.245,-0.79,-0.06,-1.193,1.219,0.465,1.274,-0.41,-0.118,0.02,-0.28,-0.421,0.752,0.921,0.03,0.411,0.05,-0.601,1.315,0.198,-0.734,-0.699,-0.671,-1.07,1.143,1.465,1.318,-0.04,1.061,0.744,-2.024
sample112,0.197,-1.822,-0.965,-0.022,1.385,2.0,-0.709,-0.718,0.842,0.222,-0.889,0.679,0.418,-0.477,0.158,-0.563,0.213,-0.173,0.041,0.217,-0.445,0.695,0.758,0.489,0.159,-1.04,1.206,0.103,-0.343,-0.094,1.425,-0.426,1.181,1.328,-0.349,-0.274,-1.098,-1.968,-1.423,2.066,0.045,-0.663,0.713,0.526,-0.34,-1.049,0.321,0.18,-0.772,-0.888,0.146,-0.141,0.865,-0.221,1.603,0.162,2.723,1.364,-1.064,-0.286,0.305,-0.56,-0.844,-1.45,0.426,1.298,0.375,-1.967,-0.493,1.592,-0.269,0.871,1.336,0.122,-0.696
sample113,-0.681,-0.112,0.148,-0.462,-0.541,-1.558,-2.073,1.513,0.973,-0.949,-0.878,0.71,-1.35,-0.873,0.798,2.744,-0.735,0.982,0.358,-0.687,-1.637,0.524,-0.648,-0.407,1.161,-1.076,0.369,0.408,-0.597,0.383,-0.771,0.333,0.172,-0.131,-0.216,0.861,-0.237,0.553,1.258,0.743,0.384,-2.797,-0.471,-0.55,-0.298,-0.039,1.933,-0.681,0.267,-2.494,-1.852,0.241,1.274,-0.664,-0.426,-1.466,0.6,-0.216,-0.337,-0.216,-0.003,0.323,0.004,-1.548,1.273,-0.991,1.018,-0.101,0.317,0.553,-0.766,-0.073,-0.597,-1.334,2.156
sample114,1.396,2.271,-0.037,-1.155,-1.565,-0.442,-0.305,-0.677,-0.358,-1.197,0.755,0.776,0.023,0.836,1.207,-1.225,1.614,1.53,1.049,0.864,1.58,-0.493,-0.732,0.536,0.163,0.158,-0.586,-1.417,0.907,0.884,0.121,-0.244,-1.06,2.064,1.049,-0.495,0.239,-0.324,1.614,-1.405,-0.447,-0.704,0.751,-0.409,-0.095,1.151,0.065,-1.002,-0.98,1.393,-0.351,-0.18,1.816,-0.825,0.567,0.714,1.129,-0.959,1.866,0.061,-0.114,1.265,-1.503,-0.392,0.253,0.472,0.664,0.881,2.288,0.183,-0.619,-3.089,2.78,-0.771,0.12
sample115,-0.89,0.844,0.843,0.416,1.332,1.443,0.271,0.658,0.679,-0.207,-1.371,1.674,-0.44,-1.106,0.324,0.059,1.069,1.409,0.485,-1.791,-0.25,-0.155,-1.226,0.746,0.383,-1.17,2.145,-0.055,1.017,-0.574,1.486,-0.3,-0.181,0.26,1.465,-0.091,1.201,-1.224,-1.036,1.425,-1.194,-0.193,-1.226,-0.617,-0.806,0.433,-0.134,0.352,0.141,-1.586,-0.125,0.26,0.437,-2.077,-0.838,0.639,0.745,0.487,0.667,-1.002,-0.17,-0.238,0.676,-0.096,0.538,1.02,0.433,1.229,0.274,-1.697,1.278,0.983,-0.538,-0.587,-2.348
sample116,2.31,0.053,-0.542,-0.333,-1.059,0.022,0.773,0.254,-0.456,0.042,0.312,-0.36,0.585,0.412,-1.339,-1.119,-0.373,0.011,2.15,-0.052,-0.051,-0.26,0.446,-0.273,0.285,-0.761,0.81,1.189,0.634,0.013,-1.902,1.007,3.227,0.095,-1.356,-1.141,-1.302,0.056,0.33,-0.037,-0.468,-0.329,1.476,0.562,-0.875,-0.655,2.322,0.175,-0.182,1.332,0.593,-0.208,0.425,1.163,-0.315,-2.696,0.721,0.493,0.165,0.354,0.592,1.916,-0.975,0.792,0.347,1.663,-1.09,1.54,0.05,-0.603,0.727,-1.775,0.784,0.37,-0.594
sample117,0.098,1.157,1.164,-0.439,0.943,1.874,-0.28,-0.248,0.194,-2.115,-1.222,-0.254,-0.921,-2.003,0.301,0.239,-1.072,-0.09,-1.14,-0.059,-1.507,0.785,-0.984,-1.177,0.754,-0.93,0.568,0.952,0.057,1.323,-2.506,0.48,1.521,0.688,-0.712,0.619,0.474,1.399,-0.246,0.233,0.947,-2.007,0.41,0.162,0.517,-0.764,-1.181,0.08,1.073,-1.839,1.022,0.038,-1.251,-0.525,0.395,-0.646,0.336,-0.631,1.646,0.942,-0.206,0.575,1.251,-0.715,-0.371,-1.494,-0.234,0.661,0.882,-0.184,0.14,-0.248,-0.1,0.736,0.913
sample118,1.241,0.607,0.578,1.513,0.914,1.399,0.439,0.205,0.837,-0.827,1.746,0.249,-0.395,0.454,-0.689,0.25,-0.828,0.081,-0.946,-2.924,1.325,-1.5,2.987,-1.333,-0.406,-0.269,0.538,0.014,1.36,0.676,-0.683,0.763,-0.326,0.823,1.161,-0.146,-0.313,-1.413,-1.369,0.157,-1.568,0.783,-0.109,1.061,0.037,-0.052,0.639,0.835,1.158,1.521,0.044,0.406,-0.285,-1.629,0.765,-1.541,0.766,-1.458,-0.615,0.384,-0.782,-1.079,1.829,-0.909,-0.544,-1.484,-0.569,0.217,-0.143,-1.14,-0.933,-0.003,-1.191,1.172,-1.122
